Lesson 6: Dimensionless heat transfer - problem 3 
3900.0000, 0.0000, 22.2170, 42.0769, 57.6039, 67.4231, 70.7747, 67.4231, 57.6039, 42.0769, 22.2170, 0.0000
4000.0000, 0.0000, 21.8664, 41.4314, 56.7517, 66.4556, 69.7712, 66.4556, 56.7517, 41.4314, 21.8664, 0.0000
4100.0000, 0.0000, 21.5240, 40.7989, 55.9131, 65.5001, 68.7787, 65.5001, 55.9131, 40.7989, 21.5240, 0.0000
4200.0000, 0.0000, 21.1892, 40.1787, 55.0878, 64.5567, 67.7974, 64.5567, 55.0878, 40.1787, 21.1892, 0.0000
4300.0000, 0.0000, 20.8617, 39.5704, 54.2754, 63.6253, 66.8277, 63.6253, 54.2754, 39.5704, 20.8617, 0.0000
4400.0000, 0.0000, 20.5410, 38.9733, 53.4756, 62.7061, 65.8695, 62.7061, 53.4756, 38.9733, 20.5410, 0.0000
4500.0000, 0.0000, 20.2268, 38.3872, 52.6883, 61.7990, 64.9232, 61.7990, 52.6883, 38.3872, 20.2268, 0.0000
4600.0000, 0.0000, 19.9188, 37.8115, 51.9131, 60.9040, 63.9887, 60.9040, 51.9131, 37.8115, 19.9188, 0.0000
4700.0000, 0.0000, 19.6168, 37.2458, 51.1498, 60.0211, 63.0661, 60.0211, 51.1498, 37.2458, 19.6168, 0.0000
4800.0000, 0.0000, 19.3204, 36.6900, 50.3981, 59.1501, 62.1554, 59.1501, 50.3981, 36.6900, 19.3204, 0.0000
4900.0000, 0.0000, 19.0294, 36.1435, 49.6578, 58.2911, 61.2567, 58.2911, 49.6578, 36.1435, 19.0294, 0.0000
5000.0000, 0.0000, 18.7437, 35.6062, 48.9287, 57.4440, 60.3700, 57.4440, 48.9287, 35.6062, 18.7437, 0.0000
5100.0000, 0.0000, 18.4631, 35.0778, 48.2106, 56.6086, 59.4951, 56.6086, 48.2106, 35.0778, 18.4631, 0.0000
5200.0000, 0.0000, 18.1873, 34.5580, 47.5033, 55.7849, 58.6321, 55.7849, 47.5033, 34.5580, 18.1873, 0.0000
