Lesson 6: Dimensionless heat transfer - exact 
6700.000, 6700, 0, 15, 28, 38, 45, 47, 45, 38, 28, 15, 0
6800.000, 6800, 0, 14, 27, 38, 44, 46, 44, 38, 27, 14, 0
6900.000, 6900, 0, 14, 27, 37, 43, 46, 43, 37, 27, 14, 0
7000.000, 7000, 0, 14, 26, 36, 43, 45, 43, 36, 26, 14, 0
7100.000, 7100, 0, 14, 26, 36, 42, 44, 42, 36, 26, 14, 0
7200.000, 7200, 0, 14, 26, 35, 42, 44, 42, 35, 26, 14, 0
7300.000, 7300, 0, 13, 25, 35, 41, 43, 41, 35, 25, 13, 0
7400.000, 7400, 0, 13, 25, 34, 40, 42, 40, 34, 25, 13, 0
7500.000, 7500, 0, 13, 25, 34, 40, 42, 40, 34, 25, 13, 0
7600.000, 7600, 0, 13, 24, 33, 39, 41, 39, 33, 24, 13, 0
7700.000, 7700, 0, 13, 24, 33, 39, 41, 39, 33, 24, 13, 0
7800.000, 7800, 0, 12, 24, 32, 38, 40, 38, 32, 24, 12, 0
7900.000, 7900, 0, 12, 23, 32, 37, 39, 37, 32, 23, 12, 0
8000.000, 8000, 0, 12, 23, 31, 37, 39, 37, 31, 23, 12, 0
8100.000, 8100, 0, 12, 23, 31, 36, 38, 36, 31, 23, 12, 0
8200.000, 8200, 0, 12, 22, 31, 36, 38, 36, 31, 22, 12, 0
8300.000, 8300, 0, 11, 22, 30, 35, 37, 35, 30, 22, 11, 0
8400.000, 8400, 0, 11, 22, 30, 35, 37, 35, 30, 22, 11, 0
8500.000, 8500, 0, 11, 21, 29, 34, 36, 34, 29, 21, 11, 0
8600.000, 8600, 0, 11, 21, 29, 34, 36, 34, 29, 21, 11, 0
8700.000, 8700, 0, 11, 21, 28, 33, 35, 33, 28, 21, 11, 0
8800.000, 8800, 0, 11, 20, 28, 33, 35, 33, 28, 20, 11, 0
8900.000, 8900, 0, 11, 20, 28, 32, 34, 32, 28, 20, 11, 0
9000.000, 9000, 0, 10, 20, 27, 32, 34, 32, 27, 20, 10, 0
9100.000, 9100, 0, 10, 19, 27, 31, 33, 31, 27, 19, 10, 0
9200.000, 9200, 0, 10, 19, 26, 31, 33, 31, 26, 19, 10, 0
9300.000, 9300, 0, 10, 19, 26, 31, 32, 31, 26, 19, 10, 0
9400.000, 9400, 0, 10, 19, 26, 30, 32, 30, 26, 19, 10, 0
9500.000, 9500, 0, 10, 18, 25, 30, 31, 30, 25, 18, 10, 0
9600.000, 9600, 0, 9, 18, 25, 29, 31, 29, 25, 18, 9, 0
9700.000, 9700, 0, 9, 18, 24, 29, 30, 29, 24, 18, 9, 0
9800.000, 9800, 0, 9, 18, 24, 28, 30, 28, 24, 18, 9, 0
9900.000, 9900, 0, 9, 17, 24, 28, 29, 28, 24, 17, 9, 0
10000.000, 10000, 0, 9, 17, 23, 28, 29, 28, 23, 17, 9, 0
10100.000, 10100, 0, 9, 17, 23, 27, 29, 27, 23, 17, 9, 0
10200.000, 10200, 0, 9, 17, 23, 27, 28, 27, 23, 17, 9, 0
10300.000, 10300, 0, 9, 16, 22, 26, 28, 26, 22, 16, 9, 0
