0,6000,5900,5800,6200
1,10843,12352,10176,11041
2,19468,25552,17751,19542
3,34553,51598,30655,34220
4,60113,99512,52055,58843
5,101198,177269,86013,98213
6,161941,280980,136294,156573
7,241491,388284,203602,234057
8,330624,473744,282499,323148
9,414610,528713,361781,410115
10,481774,559371,430032,482448
11,528785,575124,481391,535019
12,558704,582878,516259,569597
13,576610,586614,538310,590871
14,586933,588395,551635,603427
15,592757,589241,559466,610656
16,596003,589641,563994,614759
17,597800,589830,566588,617069
18,598790,589919,568065,618364
19,599335,589962,568904,619087
20,599635,589982,569379,619491
21,599799,589991,569649,619716
22,599890,589996,569801,619842
23,599939,589998,569887,619911
24,599966,589999,569936,619950
