# Hours,Growth Average
0,5975
1,11103
2,20578
3,37756
4,67631
5,115673
6,183947
7,266858
8,352504
9,428805
10,488406
11,530080
12,556860
13,573101
14,582598
15,588030
16,591099
17,592822
18,593784
19,594322
20,594622
21,594789
22,594882
23,594934
24,594963
