# Years,Prey,Predators
88.50,4686,469
88.75,4686,469
89.00,4686,469
89.25,4686,469
89.50,4686,469
89.75,4686,469
90.00,4686,469
90.25,4686,469
90.50,4686,469
90.75,4686,469
91.00,4686,469
91.25,4686,469
91.50,4686,469
91.75,4686,469
92.00,4686,469
92.25,4686,469
92.50,4686,469
92.75,4686,469
93.00,4686,469
93.25,4686,469
93.50,4686,469
93.75,4686,469
94.00,4686,469
94.25,4686,469
94.50,4686,469
94.75,4686,469
95.00,4686,469
95.25,4686,469
95.50,4686,469
95.75,4686,469
96.00,4686,469
96.25,4686,469
96.50,4686,469
96.75,4686,469
97.00,4686,469
97.25,4686,469
97.50,4686,469
97.75,4686,469
98.00,4686,469
98.25,4686,469
98.50,4686,469
98.75,4686,469
99.00,4686,469
99.25,4686,469
99.50,4686,469
99.75,4686,469
