1,234.682922,239.151215,234.682922,237.131714,233.936234,1576553
2,236.126831,239.356094,235.570724,239.268295,236.044037,1272025
3,240.156097,242.156097,235.229263,235.853653,232.675415,1349105
4,236.078049,236.673172,232.692688,232.760971,229.62439,1601563
7,232.585373,232.770737,229.921951,230.078049,226.977631,905690
8,230.078049,232.770737,229.395126,232.575607,229.441513,1619910
9,232.731705,235.775604,232.029266,233.99025,230.837112,1201198
10,234.887802,237.463409,234.887802,236.760971,233.570496,1033508
11,236.985367,238.029266,234.331711,235.278046,232.107544,1313128
14,234.965851,235.053665,232.370728,232.63414,229.499283,893390
15,233.658539,237.034149,233.326828,236.809753,233.618622,857413
16,238.507324,242.019516,237.37561,240.878052,237.632095,1044885
17,241.902435,242.41951,239.424393,240.458542,237.218231,634578
18,240.585373,241.326828,239.658539,241.063416,237.814941,1067948
21,241.092682,241.326828,239.209763,240.399994,237.160477,830045
22,240.780487,241.268295,239.863419,240.341461,237.102722,1278483
23,241.37561,241.560974,238.975616,239.024384,235.803391,1208373
24,239.024384,240.917068,232.292679,232.83902,229.701385,1506955
25,232.360977,234.468292,231.268295,233.746338,230.596481,1882105
28,234.078049,237.619507,233.453659,237.121948,233.926605,987485
29,237.112198,237.560974,235.336578,236.975616,233.782242,1808715
30,236.643906,241.317078,236.390244,241.004883,237.757217,1661935
31,243.902435,246.136581,236.478043,238.126831,234.917953,2127695
32,235.034149,239.356094,233.570724,237.765854,234.561844,2040263
35,236.565857,239.619507,235.453659,239.287811,236.063278,1047448
36,238.321945,239.434143,236.887802,237.717072,234.513687,1576245
37,238.048782,240.663422,235.492676,239.882935,236.650375,1088448
38,239.639023,240.712189,236.00975,239.024384,235.803391,1313025
39,239.209763,239.79512,236.848785,238.048782,234.840942,1549390
42,238.731705,239.024384,236.926834,237.736588,234.532959,1393693
43,238.263412,239.892685,237.248779,238.156097,234.946823,1352078
44,239.073166,244.00975,238.048782,243.765854,240.480988,1941453
45,244.526825,245.414627,241.268295,243.278046,239.999741,1651378
46,244.848785,246.253662,242.507324,242.546341,239.277908,1337010
49,241.336578,241.551224,238.253662,239.307312,236.08252,1299495
50,238.790237,241.112198,238.048782,240.565857,237.324112,1287093
51,240.263412,241.317078,238.468292,238.497559,235.283676,934390
53,239.053665,242.712189,238.360977,239.112198,235.89003,1257778
56,239.170731,240.858536,237.317078,237.668289,234.465591,1302365
57,238.9561,238.9561,230.243896,231.356094,228.238449,4358813
58,231.863419,237.59024,230.848785,235.775604,232.598419,2424125
59,235.882935,240.019516,235.073166,236.039017,232.858276,1801848
60,237.775604,238.292679,234.692688,238.165848,234.956421,1307695
63,239.326828,243.199997,238.819519,240.136581,236.90062,1482355
64,241.180481,246.517075,241.0439,244.253662,240.962219,1787088
